year_ceremony,female,black,asian,latin_american,non_white,white,male,total_nominees,female_winners,black_winners,asian_winners,latin_american_winners,non_white_winners,white_winners,male_winners,total_winners
1939,12.23021582733813,0.0,0.7194244604316548,0.0,0.7194244604316548,99.28057553956835,87.76978417266187,100.0,2.877697841726619,0.0,0.0,0.0,0.0,17.98561151079137,15.107913669064748,17.98561151079137
1940,11.18881118881119,0.6993006993006994,0.0,0.0,0.6993006993006994,99.3006993006993,88.81118881118881,100.0,2.097902097902098,0.6993006993006994,0.0,0.0,0.6993006993006994,17.482517482517483,16.083916083916083,18.181818181818183
1941,10.0,0.0,0.625,0.0,0.625,99.375,90.0,100.0,1.875,0.0,0.0,0.0,0.0,15.0,13.125,15.0
1942,9.836065573770492,0.5464480874316939,0.0,0.0,0.5464480874316939,99.4535519125683,90.1639344262295,100.0,1.639344262295082,0.0,0.0,0.0,0.0,15.300546448087431,13.66120218579235,15.300546448087431
1943,9.139784946236558,0.0,0.5376344086021505,1.075268817204301,1.6129032258064515,98.38709677419354,90.86021505376344,100.0,2.150537634408602,0.0,0.0,0.0,0.0,16.129032258064516,13.978494623655914,16.129032258064516
1944,7.692307692307692,0.0,1.0989010989010988,0.0,1.0989010989010988,98.90109890109889,92.3076923076923,100.0,1.0989010989010988,0.0,0.0,0.0,0.0,14.285714285714285,13.186813186813186,14.285714285714285
1945,11.834319526627219,0.0,0.0,1.183431952662722,1.183431952662722,98.81656804733728,88.16568047337279,100.0,3.5502958579881656,0.0,0.0,0.591715976331361,0.591715976331361,15.384615384615385,12.42603550295858,15.976331360946746
1946,13.125,0.0,0.0,0.0,0.0,100.0,86.875,100.0,2.5,0.0,0.0,0.0,0.0,17.5,15.0,17.5
1947,15.384615384615383,0.0,0.0,0.0,0.0,100.0,84.61538461538461,100.0,3.846153846153846,0.0,0.0,0.0,0.0,26.923076923076923,23.076923076923077,26.923076923076923
1948,15.238095238095237,0.0,0.0,1.9047619047619047,1.9047619047619047,98.09523809523809,84.76190476190476,100.0,1.9047619047619047,0.0,0.0,0.0,0.0,26.666666666666664,24.76190476190476,26.666666666666664
1949,16.513761467889907,0.0,0.0,0.9174311926605504,0.9174311926605504,99.08256880733944,83.48623853211008,99.99999999999999,4.587155963302752,0.0,0.0,0.0,0.0,29.357798165137613,24.77064220183486,29.357798165137613
1950,15.178571428571427,0.8928571428571428,0.0,1.7857142857142856,2.6785714285714284,97.32142857142856,84.82142857142857,99.99999999999999,3.571428571428571,0.0,0.0,0.8928571428571428,0.8928571428571428,27.678571428571427,24.999999999999996,28.57142857142857
1951,16.07142857142857,0.0,0.0,0.8928571428571428,0.8928571428571428,99.10714285714285,83.92857142857142,99.99999999999999,4.4642857142857135,0.0,0.0,0.8928571428571428,0.8928571428571428,25.89285714285714,22.32142857142857,26.785714285714285
1952,16.10169491525424,0.0,0.0,0.0,0.0,100.0,83.89830508474577,100.0,3.3898305084745766,0.0,0.0,0.0,0.0,24.576271186440678,21.186440677966104,24.576271186440678
1953,18.6046511627907,0.0,0.0,2.3255813953488373,2.3255813953488373,97.67441860465117,81.3953488372093,100.0,2.3255813953488373,0.0,0.0,0.7751937984496123,0.7751937984496123,24.806201550387595,23.25581395348837,25.58139534883721
1954,16.27906976744186,0.0,0.0,0.0,0.0,100.0,83.72093023255813,100.0,2.3255813953488373,0.0,0.0,0.0,0.0,24.031007751937985,21.705426356589147,24.031007751937985
1955,16.53543307086614,0.7874015748031495,0.7874015748031495,2.3622047244094486,3.937007874015748,96.06299212598425,83.46456692913385,100.0,3.149606299212598,0.0,0.7874015748031495,0.7874015748031495,1.574803149606299,24.409448818897637,22.834645669291337,25.984251968503937
