year_ceremony,female,black,asian,latin_american,non_white,white,total_nominees,male
1928,8.571428571428571,0.0,0.0,0.0,0.0,100.0,100.0,91.42857142857143
1929,21.05263157894737,0.0,0.0,0.0,0.0,100.0,100.0,78.94736842105263
1930,19.047619047619047,0.0,0.0,0.0,0.0,100.0,100.0,80.95238095238095
1931,11.363636363636363,0.0,0.0,2.272727272727273,2.272727272727273,97.72727272727273,100.0,88.63636363636364
1932,13.333333333333332,0.0,0.0,0.0,0.0,100.0,100.0,86.66666666666667
1933,9.67741935483871,0.0,0.0,0.0,0.0,100.0,100.0,90.3225806451613
1935,10.9375,0.0,0.0,0.0,0.0,100.0,100.0,89.0625
1936,11.764705882352942,0.0,1.1764705882352942,0.0,1.1764705882352942,98.82352941176471,100.0,88.23529411764706
1937,15.887850467289718,0.0,0.9345794392523364,0.0,0.9345794392523364,99.06542056074765,100.0,84.11214953271028
1938,11.382113821138212,0.0,0.0,0.0,0.0,100.0,100.0,88.6178861788618
1939,12.23021582733813,0.0,0.7194244604316548,0.0,0.7194244604316548,99.28057553956835,100.0,87.76978417266187
1940,11.18881118881119,0.6993006993006994,0.0,0.0,0.6993006993006994,99.3006993006993,100.0,88.81118881118881
1941,10.0,0.0,0.625,0.0,0.625,99.375,100.0,90.0
1942,9.836065573770492,0.5464480874316939,0.0,0.0,0.5464480874316939,99.4535519125683,100.0,90.1639344262295
1943,9.139784946236558,0.0,0.5376344086021505,1.075268817204301,1.6129032258064515,98.38709677419354,100.0,90.86021505376344
1944,7.692307692307692,0.0,1.0989010989010988,0.0,1.0989010989010988,98.90109890109889,100.0,92.3076923076923
1945,11.834319526627219,0.0,0.0,1.183431952662722,1.183431952662722,98.81656804733728,100.0,88.16568047337279
1946,13.125,0.0,0.0,0.0,0.0,100.0,100.0,86.875
1947,15.384615384615383,0.0,0.0,0.0,0.0,100.0,100.0,84.61538461538461
1948,15.238095238095237,0.0,0.0,1.9047619047619047,1.9047619047619047,98.09523809523809,100.0,84.76190476190476
1949,16.513761467889907,0.0,0.0,0.9174311926605504,0.9174311926605504,99.08256880733944,99.99999999999999,83.48623853211008
1950,15.178571428571427,0.8928571428571428,0.0,1.7857142857142856,2.6785714285714284,97.32142857142856,99.99999999999999,84.82142857142857
1951,16.07142857142857,0.0,0.0,0.8928571428571428,0.8928571428571428,99.10714285714285,99.99999999999999,83.92857142857142
1952,16.10169491525424,0.0,0.0,0.0,0.0,100.0,100.0,83.89830508474577
1953,18.6046511627907,0.0,0.0,2.3255813953488373,2.3255813953488373,97.67441860465117,100.0,81.3953488372093
1954,16.27906976744186,0.0,0.0,0.0,0.0,100.0,100.0,83.72093023255813
