year_ceremony,female,black,asian,latin_american,non_white,white,total_nominees,male,total_winners,female_winners,black_winners,asian_winners,latin_american_winners,non_white_winners,white_winners,male_winners
1928,8.571428571428571,0.0,0.0,0.0,0.0,100.0,100.0,91.42857142857143,100.0,6.666666666666667,0.0,0.0,0.0,0.0,100.0,93.33333333333334
1929,21.05263157894737,0.0,0.0,0.0,0.0,100.0,100.0,78.94736842105263,99.99999999999999,14.285714285714285,0.0,0.0,0.0,0.0,99.99999999999999,85.71428571428571
1930,19.047619047619047,0.0,0.0,0.0,0.0,100.0,100.0,80.95238095238095,100.0,25.0,0.0,0.0,0.0,0.0,100.0,75.0
1931,11.363636363636363,0.0,0.0,2.272727272727273,2.272727272727273,97.72727272727273,100.0,88.63636363636364,100.0,11.11111111111111,0.0,0.0,0.0,0.0,100.0,88.88888888888889
1932,13.333333333333332,0.0,0.0,0.0,0.0,100.0,100.0,86.66666666666667,99.99999999999999,14.285714285714285,0.0,0.0,0.0,0.0,99.99999999999999,85.71428571428571
1933,9.67741935483871,0.0,0.0,0.0,0.0,100.0,100.0,90.3225806451613,100.0,10.526315789473685,0.0,0.0,0.0,0.0,100.0,89.47368421052632
1935,10.9375,0.0,0.0,0.0,0.0,100.0,100.0,89.0625,99.99999999999999,5.88235294117647,0.0,0.0,0.0,0.0,99.99999999999999,94.11764705882352
1936,11.764705882352942,0.0,1.1764705882352942,0.0,1.1764705882352942,98.82352941176471,100.0,88.23529411764706,100.0,5.555555555555555,0.0,0.0,0.0,0.0,100.0,94.44444444444444
1937,15.887850467289718,0.0,0.9345794392523364,0.0,0.9345794392523364,99.06542056074765,100.0,84.11214953271028,100.0,18.181818181818183,0.0,0.0,0.0,0.0,100.0,81.81818181818181
1938,11.382113821138212,0.0,0.0,0.0,0.0,100.0,100.0,88.6178861788618,100.0,12.0,0.0,0.0,0.0,0.0,100.0,88.0
1939,12.23021582733813,0.0,0.7194244604316548,0.0,0.7194244604316548,99.28057553956835,100.0,87.76978417266187,100.0,16.0,0.0,0.0,0.0,0.0,100.0,84.0
1940,11.18881118881119,0.6993006993006994,0.0,0.0,0.6993006993006994,99.3006993006993,100.0,88.81118881118881,100.0,11.538461538461538,3.846153846153846,0.0,0.0,3.846153846153846,96.15384615384615,88.46153846153845
1941,10.0,0.0,0.625,0.0,0.625,99.375,100.0,90.0,100.0,12.5,0.0,0.0,0.0,0.0,100.0,87.5
1942,9.836065573770492,0.5464480874316939,0.0,0.0,0.5464480874316939,99.4535519125683,100.0,90.1639344262295,99.99999999999999,10.714285714285714,0.0,0.0,0.0,0.0,99.99999999999999,89.28571428571428
1943,9.139784946236558,0.0,0.5376344086021505,1.075268817204301,1.6129032258064515,98.38709677419354,100.0,90.86021505376344,100.0,13.333333333333334,0.0,0.0,0.0,0.0,100.0,86.66666666666667
1944,7.692307692307692,0.0,1.0989010989010988,0.0,1.0989010989010988,98.90109890109889,100.0,92.3076923076923,100.0,7.692307692307692,0.0,0.0,0.0,0.0,100.0,92.3076923076923
1945,11.834319526627219,0.0,0.0,1.183431952662722,1.183431952662722,98.81656804733728,100.0,88.16568047337279,100.0,22.22222222222222,0.0,0.0,3.7037037037037033,3.7037037037037033,96.29629629629629,77.77777777777777
1946,13.125,0.0,0.0,0.0,0.0,100.0,100.0,86.875,99.99999999999999,14.285714285714285,0.0,0.0,0.0,0.0,99.99999999999999,85.71428571428571
1947,15.384615384615383,0.0,0.0,0.0,0.0,100.0,100.0,84.61538461538461,99.99999999999999,14.285714285714285,0.0,0.0,0.0,0.0,99.99999999999999,85.71428571428571
1948,15.238095238095237,0.0,0.0,1.9047619047619047,1.9047619047619047,98.09523809523809,100.0,84.76190476190476,99.99999999999999,7.142857142857142,0.0,0.0,0.0,0.0,99.99999999999999,92.85714285714285
1949,16.513761467889907,0.0,0.0,0.9174311926605504,0.9174311926605504,99.08256880733944,99.99999999999999,83.48623853211008,100.0,15.625,0.0,0.0,0.0,0.0,100.0,84.375
