year_ceremony,total_winners,female_winners,black_winners,asian_winners,latin_american_winners,non_white_winners,white_winners,male_winners
1959,100.0,12.0,0.0,0.0,0.0,0.0,100.0,88.0
1960,99.99999999999999,10.714285714285714,0.0,0.0,0.0,0.0,99.99999999999999,89.28571428571428
1961,100.0,13.793103448275863,0.0,0.0,0.0,0.0,100.0,86.20689655172414
1962,100.0,13.333333333333334,0.0,0.0,3.3333333333333335,3.3333333333333335,96.66666666666667,86.66666666666667
1963,100.0,23.076923076923077,0.0,0.0,0.0,0.0,100.0,76.92307692307692
1964,100.0,18.51851851851852,3.7037037037037033,3.7037037037037033,0.0,7.4074074074074066,92.59259259259258,81.48148148148148
1965,100.0,11.11111111111111,0.0,0.0,0.0,0.0,100.0,88.88888888888889
1966,100.0,13.793103448275863,0.0,0.0,0.0,0.0,100.0,86.20689655172414
1967,100.0,16.666666666666668,3.3333333333333335,0.0,0.0,3.3333333333333335,96.66666666666667,83.33333333333334
1968,100.0,7.692307692307692,0.0,0.0,3.846153846153846,3.846153846153846,96.15384615384615,92.3076923076923
1969,100.0,23.076923076923077,0.0,0.0,0.0,0.0,100.0,76.92307692307692
1970,100.0,20.833333333333336,0.0,0.0,0.0,0.0,100.0,79.16666666666667
1971,100.0,11.538461538461538,0.0,0.0,0.0,0.0,100.0,88.46153846153845
1972,100.0,17.391304347826086,4.3478260869565215,0.0,8.695652173913043,13.043478260869565,86.95652173913044,82.6086956521739
1973,100.0,20.0,0.0,0.0,0.0,0.0,100.0,80.0
1974,100.0,20.0,0.0,0.0,0.0,0.0,100.0,80.0
1975,100.0,16.0,0.0,0.0,0.0,0.0,100.0,84.0
1976,100.0,26.923076923076923,0.0,0.0,0.0,0.0,100.0,73.07692307692308
1977,100.0,29.166666666666668,0.0,0.0,0.0,0.0,100.0,70.83333333333334
1978,100.0,18.51851851851852,0.0,0.0,0.0,0.0,100.0,81.48148148148148
1979,100.0,22.22222222222222,0.0,0.0,0.0,0.0,100.0,77.77777777777777
1980,100.0,11.11111111111111,0.0,0.0,0.0,0.0,100.0,88.88888888888889
1981,100.0,13.636363636363637,0.0,0.0,0.0,0.0,100.0,86.36363636363636
1982,100.0,23.076923076923077,0.0,0.0,0.0,0.0,100.0,76.92307692307692
1983,100.0,23.076923076923077,0.0,3.846153846153846,0.0,3.846153846153846,96.15384615384615,76.92307692307692
1984,100.0,36.0,4.0,0.0,4.0,4.0,96.0,64.0
1985,100.0,14.814814814814813,7.4074074074074066,3.7037037037037033,0.0,11.11111111111111,88.88888888888889,85.18518518518518
1986,100.0,23.076923076923077,3.846153846153846,3.846153846153846,0.0,7.692307692307692,92.3076923076923,76.92307692307692
1987,100.0,30.769230769230766,3.846153846153846,0.0,0.0,3.846153846153846,96.15384615384615,69.23076923076923
1988,100.0,25.0,0.0,4.166666666666667,0.0,4.166666666666667,95.83333333333334,75.0
1989,100.0,15.384615384615383,3.846153846153846,0.0,3.846153846153846,7.692307692307692,92.3076923076923,84.61538461538461
1990,100.0,20.0,8.0,4.0,0.0,12.0,88.0,80.0
1991,100.0,26.923076923076923,7.692307692307692,0.0,0.0,7.692307692307692,92.3076923076923,73.07692307692308
1992,100.0,24.0,0.0,0.0,4.0,4.0,96.0,76.0
1993,100.0,42.30769230769231,0.0,7.692307692307692,0.0,7.692307692307692,92.3076923076923,57.69230769230769
1994,100.0,36.0,0.0,0.0,0.0,0.0,100.0,64.0
1995,100.0,40.74074074074074,3.7037037037037033,0.0,0.0,3.7037037037037033,96.29629629629629,59.25925925925925
1996,100.0,22.22222222222222,0.0,0.0,3.7037037037037033,3.7037037037037033,96.29629629629629,77.77777777777777
1997,100.0,26.923076923076923,0.0,3.846153846153846,0.0,3.846153846153846,96.15384615384615,73.07692307692308
1998,100.0,16.0,0.0,4.0,0.0,4.0,96.0,84.0
1999,100.0,26.923076923076923,0.0,3.846153846153846,0.0,3.846153846153846,96.15384615384615,73.07692307692308
2000,100.0,24.0,0.0,0.0,0.0,0.0,100.0,76.0
2001,100.0,26.923076923076923,0.0,7.692307692307692,0.0,7.692307692307692,92.3076923076923,73.07692307692308
2002,100.0,22.22222222222222,11.11111111111111,0.0,3.7037037037037033,14.814814814814813,85.18518518518518,77.77777777777777
2003,100.0,20.0,0.0,4.0,8.0,12.0,88.0,80.0
2004,100.0,32.0,0.0,0.0,0.0,0.0,100.0,68.0
2005,100.0,34.61538461538461,7.692307692307692,0.0,3.846153846153846,11.538461538461538,88.46153846153845,65.38461538461539
2006,100.0,36.0,0.0,4.0,4.0,8.0,92.0,64.0
2007,100.0,38.46153846153846,7.692307692307692,3.846153846153846,11.538461538461538,23.076923076923077,76.92307692307692,61.53846153846153
2008,100.0,44.0,0.0,0.0,0.0,0.0,100.0,56.0
2009,100.0,12.0,4.0,8.0,0.0,12.0,88.0,88.0
2010,99.99999999999999,35.71428571428571,10.714285714285714,0.0,3.571428571428571,14.285714285714285,85.71428571428571,64.28571428571428
2011,99.99999999999999,24.999999999999996,0.0,3.571428571428571,0.0,3.571428571428571,96.42857142857142,74.99999999999999
2012,100.0,22.22222222222222,11.11111111111111,3.7037037037037033,0.0,14.814814814814813,85.18518518518518,77.77777777777777
2013,100.0,27.586206896551726,0.0,3.4482758620689657,3.4482758620689657,6.8965517241379315,93.10344827586208,72.41379310344828
2014,99.99999999999999,39.285714285714285,10.714285714285714,3.571428571428571,14.285714285714285,24.999999999999996,74.99999999999999,60.71428571428571
2015,99.99999999999999,32.14285714285714,0.0,3.571428571428571,7.142857142857142,10.714285714285714,89.28571428571428,67.85714285714285
2016,100.0,48.148148148148145,3.7037037037037033,3.7037037037037033,7.4074074074074066,14.814814814814813,85.18518518518518,51.85185185185185
2017,99.99999999999999,32.14285714285714,14.285714285714285,0.0,0.0,14.285714285714285,85.71428571428571,67.85714285714285
2018,100.0,24.13793103448276,6.8965517241379315,0.0,6.8965517241379315,13.793103448275863,86.20689655172414,75.86206896551725
2019,99.99999999999999,46.42857142857142,21.428571428571427,14.285714285714285,14.285714285714285,46.42857142857142,53.57142857142857,53.57142857142857
2020,99.99999999999999,39.285714285714285,3.571428571428571,3.571428571428571,3.571428571428571,10.714285714285714,89.28571428571428,60.71428571428571
