,gender,words,sentences,total_words,total_sentences,words_perc,sentences_perc,cast_perc_gender
0,female,51119.0,8114.0,172653.0,26351.0,29.607941941350568,30.79200030359379,31.69811320754717
1,male,121534.0,18237.0,172653.0,26351.0,70.39205805864943,69.2079996964062,68.30188679245282
