,year,race_simple,words,sentences,total_words,total_sentences,words_perc,sentences_perc,cast_perc_race
0,1989,POC,5108.0,766.0,33725.0,5708.0,15.146034099332839,13.419761737911703,8.16326530612245
1,1989,White,28617.0,4942.0,33725.0,5708.0,84.85396590066716,86.5802382620883,91.83673469387756
2,2015,POC,4040.0,592.0,72918.0,10741.0,5.5404701171178585,5.511591099525184,11.11111111111111
3,2015,White,68878.0,10149.0,72918.0,10741.0,94.45952988288214,94.48840890047482,88.88888888888889
4,2017,POC,6024.0,1019.0,66010.0,9902.0,9.125890016664142,10.290850333266006,13.131313131313133
5,2017,White,59986.0,8883.0,66010.0,9902.0,90.87410998333586,89.70914966673399,86.86868686868688
